name,author,narrator,time,releasedate,language,stars,price
Mister Dimples,"Writtenby:LindsayBecs,HeroClub","Narratedby:WenRoss,KaiKennicott",,14-09-20,English,Not rated yet,668.00
The Midnight Line,Writtenby:LeeChild,Narratedby:JeffHarding,11 hrs and 17 mins,07-11-17,English,4 out of 5 stars16 ratings,957.00
Pup's Prairie Home,Writtenby:ShirleyRayeRedmond,Narratedby:anonymous,2 mins,23-02-22,English,Not rated yet,82.00
Petit Ours Brun se déguise,Writtenby:NathalieSavey,Narratedby:DorothéePousséo,3 mins,28-02-22,french,Not rated yet,113.00
The Soulful Journey of Recovery,Writtenby:TianDayton,Narratedby:ElizaFoss,7 hrs and 32 mins,05-11-19,English,Not rated yet,703.00
Das Manuskript in der Flasche,Writtenby:EdgarAllanPoe,Narratedby:ChristophHackenberg,1 hr and 5 mins,04-01-22,german,Not rated yet,99.00
Binaural Beats / Brainwave Entrainment / Deep Relaxation / The Bridge to the Subconscious,Writtenby:LaurenceGoldman,Narratedby:IanBrannan,6 hrs and 46 mins,20-04-21,English,5 out of 5 stars1 rating,635.00
"Sis, Don't Settle",Writtenby:FaithJenkins,Narratedby:FaithJenkins,8 hrs and 20 mins,09-11-21,English,5 out of 5 stars1 rating,500.00
"Juliette et l'amour multiple, une vie érotique","Writtenby:Juliette,PaulineVerduzier,VictoireTuaillon","Narratedby:Juliette,PaulineVerduzier,VictoireTuaillon",1 hr and 3 mins,19-06-18,french,Not rated yet,187.00
Dear Madam and Gentlemen [Russian Edition],Writtenby:AntonChekhov,"Narratedby:VeraTsaryova,FiodorSeleznyov",44 mins,07-05-14,russian,Not rated yet,234.00
Marketing: More effective and efficient,Writtenby:HenningGlaser,Narratedby:HenningGlaser,2 hrs and 39 mins,06-07-15,English,Not rated yet,434.00
Super Immunity Guided Detox with Dr. Joel Fuhrman,Writtenby:Dr.JoelFuhrman,Narratedby:Dr.JoelFuhrman,9 hrs and 37 mins,21-06-21,English,Not rated yet,197.00
Essential Oils to Boost the Brain and Heal the Body,"Writtenby:JodiCohen,TerryWahls-foreword","Narratedby:JodiCohen,LeslieHoward",7 hrs and 38 mins,16-03-21,English,Not rated yet,879.00
Ser Bom Não É Ser Bonzinho,Writtenby:ClaudioThebas,Narratedby:SérgioMastropasqua,5 hrs and 22 mins,30-12-21,portuguese,Not rated yet,200.00
Oscar Wilde,Writtenby:MatthewSturgis,Narratedby:JohnPirkis,34 hrs and 27 mins,12-10-21,English,Not rated yet,"1,759.00"
Survivors,Writtenby:TobyNeighbors,Narratedby:AJJones,8 hrs and 14 mins,09-11-21,English,Not rated yet,586.00
Longhorn: The Hondo Kid,Writtenby:DustyRhodes,Narratedby:GeneEngene,12 hrs and 23 mins,31-01-11,English,Not rated yet,820.00
Banzai Babe Ruth,Writtenby:RobertK.Fitts,Narratedby:RobinBloodworth,11 hrs and 42 mins,25-02-13,English,Not rated yet,836.00
Taking Care of Our World,Writtenby:ThelmaRea,Narratedby:EmilioDelgado,2 mins,24-04-09,English,Not rated yet,65.00
Flygkapare på fri fot,Writtenby:BrianDanChristensen,Narratedby:HåkanJulander,19 mins,26-02-20,swedish,Not rated yet,32.00
Il messaggero dell'angelo,Writtenby:HeatherKillough-Walden,Narratedby:MattiaBressan,12 hrs and 46 mins,08-06-19,italian,Not rated yet,766.00
Happier Human,"Writtenby:S.J.Scott,A.Amit",Narratedby:ErikBloomquist,4 hrs and 8 mins,28-06-19,English,Not rated yet,469.00
Berøringen af hud,Writtenby:PiaTafdrup,Narratedby:PiaTafdrup,1 hr and 39 mins,03-03-22,danish,Not rated yet,267.00
King Slayer,Writtenby:LaylaReyne,Narratedby:TristanJames,5 hrs and 37 mins,15-10-19,English,5 out of 5 stars1 rating,
Breaking the Chain,Writtenby:AllysonReedy,Narratedby:MelanieHaynes,6 hrs and 32 mins,10-04-13,English,Not rated yet,668.00
Christmas with the Bomb Girls,Writtenby:DaisyStyles,Narratedby:HelenLloyd,10 hrs and 2 mins,01-02-18,English,Not rated yet,645.00
North Korea's Hidden Revolution,Writtenby:JieunBaek,Narratedby:CarolineMcLaughlin,7 hrs and 31 mins,15-11-16,English,4 out of 5 stars1 rating,891.00
Tammy Duckworth,Writtenby:StephanieCham,Narratedby:anonymous,3 mins,25-02-22,English,Not rated yet,82.00
Ho'oponopono,Writtenby:StevenBailey,Narratedby:SimoneBedetti,24 mins,28-04-21,italian,Not rated yet,75.00
Mujeres de Vida Apasionada y Muerte Trágica [Women of Passionate Lives and Tragic Deaths],Writtenby:MaríaPilarQueralt,Narratedby:ChloeMalaise,8 hrs and 8 mins,28-05-19,spanish,Not rated yet,
Own Your Energy,Writtenby:AllaSvirinskaya,Narratedby:EmmaPowell,7 hrs and 31 mins,07-09-19,English,Not rated yet,680.00
The Wisdom of John Paul II,"Writtenby:PopeJohnPaulII,IntroductionbyFatherJohnWhite",Narratedby:KevinMcCarthy,3 hrs and 15 mins,16-12-99,English,Not rated yet,421.00
Und ewig grüßt das Moppel-Ich,Writtenby:SusanneFröhlich,Narratedby:SusanneFröhlich,3 hrs and 41 mins,30-03-10,german,Not rated yet,
Epidemics and Society,Writtenby:FrankM.Snowden,Narratedby:EricJasonMartin,23 hrs and 34 mins,15-09-20,English,5 out of 5 stars3 ratings,820.00
Emotional Agility,Writtenby:SusanDavid,Narratedby:ClaireGordon-Webster,7 hrs and 28 mins,23-05-16,English,4.5 out of 5 stars25 ratings,683.00
The Brewer's Tale,Writtenby:WilliamBostwick,Narratedby:ChristopherSutton,8 hrs and 6 mins,23-02-15,English,Not rated yet,836.00
I dieci momenti che hanno cambiato la storia della chiesa,Writtenby:AndreaAntonioli,Narratedby:AlbertoOnofrietti,24 hrs and 29 mins,09-02-21,italian,Not rated yet,"1,342.00"
Fiabe d'incantesimi,Writtenby:ItaloCalvino,Narratedby:BettaCucci,1 hr and 13 mins,16-02-22,italian,Not rated yet,267.00
House of Salt and Sorrows,Writtenby:ErinA.Craig,Narratedby:EmilyLawrence,12 hrs and 50 mins,06-08-19,English,4.5 out of 5 stars14 ratings,"1,382.00"
In Watermelon Sugar,Writtenby:RichardBrautigan,Narratedby:BronsonPinchot,2 hrs and 22 mins,25-04-17,English,3.5 out of 5 stars14 ratings,585.00
Elizabeth Cady Stanton,Writtenby:DawnC.Adiletta,Narratedby:SuzyMyers,1 hr and 50 mins,02-02-09,English,Not rated yet,266.00
P'tit Loup prépare Noël,Writtenby:OrianneLallemand,Narratedby:WillProduction,3 mins,09-07-21,french,Not rated yet,74.00
Usted S.A.,Writtenby:InésTemple,Narratedby:DanielaLanzaraAlcázar,5 hrs and 13 mins,03-09-21,spanish,Not rated yet,729.00
Jewish Dog,"Writtenby:AsherKravitz,MichalKessler-translator,ShariDashGreenspan",Narratedby:JoshBloomberg,6 hrs and 29 mins,02-08-21,English,Not rated yet,375.00
Naughty Neighbor,"Writtenby:LaurenRunow,JeannineColette","Narratedby:BrandonUtah,StephanieWyles",7 hrs and 22 mins,23-03-21,English,Not rated yet,586.00
Overcoming Panic and Agoraphobia,Writtenby:DrVijayaManicavasagar,Narratedby:DrVijayaManicavasagar,1 hr and 5 mins,01-04-12,English,Not rated yet,417.00
Achtsamkeit für Kinder,Writtenby:MagicKids,Narratedby:TorbenSterner,3 hrs and 58 mins,19-01-22,german,Not rated yet,434.00
Everglades - A fascinating Journey,"Writtenby:GlobalTelevision,ArcadiaHomeEntertainment",Narratedby:PeterSimpson,44 mins,28-07-20,English,Not rated yet,200.00
Dinosaur Times,Writtenby:Ladybird,"Narratedby:BenBaileySmith,KristinAtherton",56 mins,01-07-19,English,Not rated yet,410.00
Gamechanger Investing,Writtenby:HilaryKramer,Narratedby:KathrynDaniels,6 hrs and 52 mins,28-01-20,English,Not rated yet,586.00
The Positive Side of the Street,Writtenby:NapoleonHill,Narratedby:BarryAbrams,4 hrs and 5 mins,25-01-22,English,Not rated yet,469.00
"Lucky, the Amazing Dog Jockey",Writtenby:BrianJames,"Narratedby:BrianJames,BradArnold,Chazmo",25 mins,14-04-21,English,Not rated yet,117.00
Another Fine Mess,Writtenby:TimMoore,Narratedby:TimMoore,10 hrs and 17 mins,08-11-18,English,Not rated yet,752.00
Die Abenteuer des braven Soldaten Schwejk,Writtenby:JaroslavHašek,"Narratedby:GeraldPichowetz,DasGloriaTheaterEnsemble",1 hr and 24 mins,13-01-22,german,Not rated yet,166.00
Milton Hershey,"Writtenby:JanetBenge,GeoffBenge",Narratedby:TimGregory,4 hrs and 55 mins,26-10-15,English,Not rated yet,501.00
Atempause,"Writtenby:KatjaSchütz,AndreasSchütz",Narratedby:MarcelSchieback,16 mins,13-02-13,german,3.5 out of 5 stars2 ratings,Free
Erotic Intelligence,Writtenby:AlexandraKatehakis,Narratedby:EstherWhite,7 hrs and 15 mins,05-06-18,English,Not rated yet,668.00
Lean UX: Designing Great Products with Agile Teams (Second Edition),"Writtenby:JeffGothelf,JoshSeiden",Narratedby:DouglasMartin,4 hrs and 56 mins,16-02-21,English,5 out of 5 stars3 ratings,"1,340.00"
De Seul al Cielo [From Seoul to Heaven],"Writtenby:SilviaAliaga,TatianaMarco","Narratedby:LauraVives,LuísTorrelles",15 hrs and 37 mins,21-02-20,spanish,Not rated yet,"1,036.00"
High Fiber Keto,Writtenby:NaomiWhittel,Narratedby:NaomiWhittel,6 hrs and 21 mins,25-02-20,English,Not rated yet,750.00
Thunder Road,Writtenby:ColinHolmes,Narratedby:GroverGardner,9 hrs and 43 mins,15-02-22,English,Not rated yet,585.00
Чудеса быта,Writtenby:СергейМусский,Narratedby:АлександрКотов,4 hrs and 51 mins,28-01-21,russian,Not rated yet,166.00
Sugarlump and the Unicorn and Other Stories,"Writtenby:JuliaDonaldson,LydiaMonks","Narratedby:DavidTennant,ImeldaStaunton,JoannaPage,",1 hr and 13 mins,09-07-20,English,4.5 out of 5 stars3 ratings,323.00
第54回 新刊ラジオ第2部プレミアム　,"Writtenby:矢島雅弘,石橋遊","Narratedby:矢島雅弘,石橋遊",21 mins,15-05-18,japanese,Not rated yet,139.00
Ti con zero,Writtenby:ItaloCalvino,Narratedby:DarioSansalone,4 hrs and 21 mins,19-05-21,italian,Not rated yet,267.00
The Bridled Tongue,Writtenby:CatherineMeyrick,Narratedby:DanielleCohen,12 hrs and 36 mins,04-05-21,English,4 out of 5 stars1 rating,703.00
Niebla en el alma,"Writtenby:RagnarJónasson,KristinnR.Ólafsson-traductor,AldaÓlafssonÁlvarez-traductor",Narratedby:RicharddelOlmo,8 hrs and 31 mins,10-01-22,spanish,Not rated yet,767.00
FACTFULNESS(ファクトフルネス) 10の思い込みを乗り越え、データを基に世界を正しく見る習慣,"Writtenby:ハンス・ロスリング,オーラ・ロスリング,アンナ・ロスリング・ロンランド,","Narratedby:大岡優一郎,水原恵理",12 hrs and 57 mins,27-03-20,japanese,Not rated yet,976.00
The Problem with Lincoln,Writtenby:ThomasJ.DiLorenzo,Narratedby:JohnMcLain,8 hrs and 4 mins,07-07-20,English,Not rated yet,773.00
When Love Came Calling,Writtenby:PreetiShenoy,Narratedby:NimishaSirohi,8 hrs and 9 mins,01-06-21,English,4 out of 5 stars12 ratings,668.00
Howler Monkeys,"Writtenby:RandallSusman,ChadwickGillenwater",Narratedby:anonymous,2 mins,25-02-22,English,Not rated yet,82.00
"Will Fain, U.S. Marshal, West Texas: Book 2",Writtenby:R.O.Lane,Narratedby:A.T.Chandler,5 hrs and 54 mins,24-12-19,English,Not rated yet,586.00
Environmental Guilt and Shame,Writtenby:SarahE.Fredericks,Narratedby:SaraSheckells,12 hrs and 1 min,02-11-21,English,Not rated yet,586.00
This Is All a Dream We Dreamed,"Writtenby:BlairJackson,DavidGans","Narratedby:HolterGraham,FredBerman,OliverWyman,",17 hrs and 19 mins,10-11-15,English,Not rated yet,221.00
Robin Hood,Writtenby:LouisRhead,Narratedby:FloGibson,6 hrs and 4 mins,14-01-13,English,Not rated yet,585.00
12 Challenges Churches Face,Writtenby:MarkDever,Narratedby:TimDixon,8 hrs and 5 mins,20-01-22,English,Not rated yet,585.00
Psychosis,Writtenby:PatPatterson,Narratedby:PatPatterson,5 hrs and 44 mins,23-03-09,English,Not rated yet,668.00
The Way of Qigong,Writtenby:KennethS.Cohen,Narratedby:KennethS.Cohen,3 hrs and 18 mins,24-12-09,English,5 out of 5 stars1 rating,74.00
The Glasshouse,Writtenby:RosalindAbel,Narratedby:KirtGraves,9 hrs and 27 mins,28-05-19,English,Not rated yet,586.00
El sexto sentido (Narración en Castellano) [The Sixth Sense],Writtenby:PhavyPrieto,Narratedby:EstelaBenita,9 hrs and 47 mins,30-12-21,spanish,Not rated yet,668.00
Das Leben ist schön,Writtenby:M.L.Busch,"Narratedby:MarthaKindermann,FlorianClyde",21 mins,28-04-21,german,Not rated yet,99.00
Amours Solitaires,Writtenby:MorganeOrtin,"Narratedby:SandraParra,BertrandPazos",2 hrs and 20 mins,14-02-19,french,Not rated yet,452.00
Праздники Святой Земли,Writtenby:АлексейДмитриевский,Narratedby:АлександрКотов,6 hrs and 52 mins,04-08-20,russian,Not rated yet,166.00
Lives of the Twelve Caesars,Writtenby:Suetonius,Narratedby:DerekJacobi,7 hrs and 13 mins,26-12-04,English,Not rated yet,668.00
Good News About Injustice,Writtenby:GaryA.Haugen,Narratedby:JonT.Gauger,2 hrs and 33 mins,11-11-09,English,Not rated yet,375.00
Lush,Writtenby:KerryCohen,Narratedby:AllysonRyan,5 hrs and 40 mins,17-07-18,English,Not rated yet,469.00
wisの高村光太郎01「智恵子抄（17編抜粋）」,Writtenby:高村光太郎,Narratedby:wis,37 mins,25-10-16,japanese,Not rated yet,279.00
Unglücksglück / Das geschundene Tier,Writtenby:MartinWalser,Narratedby:MartinWalser,1 hr and 2 mins,15-01-21,german,Not rated yet,233.00
New York Dreams (German edition),Writtenby:NadineKerger,Narratedby:LeonieLanda,10 hrs and 22 mins,30-12-21,german,Not rated yet,736.00
5 Minute Mystery - Death at Andersonville,Writtenby:TomFowler,Narratedby:DickHill,9 mins,14-05-10,English,Not rated yet,32.00
Rethinking Competitive Advantage,Writtenby:RamCharan,Narratedby:ArthurMorey,5 hrs and 18 mins,08-04-21,English,4 out of 5 stars1 rating,888.00
The Career Code,"Writtenby:KatherinePower,HillaryKerr",Narratedby:HillaryKerr,3 hrs and 21 mins,02-08-16,English,Not rated yet,"1,063.00"
Приключения светофорных человечков,Writtenby:ОльгаЛукас,"Narratedby:АлександрАравушкин,ВоронецкийСтанислав,МаринаТитова",23 mins,21-03-22,russian,Not rated yet,99.00
"Проект ""Феникс"". Роман о том, как DevOps меняет бизнес к лучшему",Writtenby:SmartReading,Narratedby:ДмитрийЕвстратов,31 mins,04-09-20,russian,Not rated yet,132.00
Poorly Made in China,Writtenby:PaulMidler,Narratedby:PaulMidler,7 hrs and 57 mins,09-07-20,English,Not rated yet,836.00
Alien Gift,Writtenby:TracyLauren,"Narratedby:NoelleBridges,MasonLloyd",3 hrs and 28 mins,28-05-19,English,Not rated yet,469.00
Das Hörbuch der Bücher,"Writtenby:OlafIrlenkäuser,RainerVollmar","Narratedby:StephanBenson,KaiMaertens,NormanHacker",1 hr,09-01-07,german,Not rated yet,367.00
The Beekeeper's Promise,Writtenby:FionaValpy,Narratedby:HenriettaMeire,8 hrs and 20 mins,16-05-18,English,Not rated yet,586.00
Das geheime Leben des Albert Entwistle,Writtenby:MattCain,Narratedby:HansJürgenStockerl,11 hrs and 1 min,30-08-21,german,Not rated yet,367.00
Chomp,Writtenby:CarlHiaasen,Narratedby:JamesVanDerBeek,6 hrs and 10 mins,27-03-12,English,Not rated yet,"1,105.00"
ザ・ローリング・ストーンズとの出会い,Writtenby:MikeM.Koshitani(越谷政義),Narratedby:MikeM.Koshitani,18 mins,20-11-15,japanese,Not rated yet,139.00
"Czarownik ptaków cz.2 [Bird Wizard, Part 2]",Writtenby:TomaszKalita,Narratedby:PawełSzczęsny,15 mins,21-06-21,polish,Not rated yet,154.00
Bright Burning Stars,Writtenby:A.K.Small,"Narratedby:NicoleWood,SaskiaMaarleveld",7 hrs and 45 mins,22-05-19,English,Not rated yet,703.00
Blood on the Moon,Writtenby:JenniferKnight,Narratedby:RebeccaGibel,11 hrs and 23 mins,11-02-13,English,Not rated yet,694.00
Schönes neues Geld,Writtenby:NorbertHäring,Narratedby:MatthiasLühn,8 hrs and 33 mins,04-09-18,german,Not rated yet,468.00
Mastering the Art of Public Speaking,Writtenby:MichaelJ.Gelb,Narratedby:TomParks,5 hrs and 32 mins,08-09-20,English,5 out of 5 stars1 rating,844.00
The Primrose Railway Children,Writtenby:JacquelineWilson,Narratedby:GeorginaCampbell,11 hrs and 54 mins,16-09-21,English,3 out of 5 stars1 rating,615.00
Atal Bihari Vajpayee,Writtenby:KingshukNag,Narratedby:ManishDongardive,6 hrs and 58 mins,01-01-17,English,4.5 out of 5 stars63 ratings,348.00
Messi Es un Perro y Otros Cuentos de Fútbol,Writtenby:HernánCasciari,Narratedby:HernánCasciari,2 hrs and 31 mins,19-08-19,spanish,Not rated yet,65.00
"Streets, Rhymes & ‘Sugar’",Writtenby:MichaelElliot,Narratedby:MichaelElliot,2 hrs and 28 mins,05-08-21,English,Not rated yet,501.00
Managing PD Mid-Stride,Writtenby:ParkinsonsFoundation,"Narratedby:RashidaMarshall,LisaNegron,ScottPollak,",57 mins,11-10-21,English,Not rated yet,23.00
Hacia una economía moral,Writtenby:AndrésManuelLópezObrador,Narratedby:ArturoMercadoJr.,4 hrs and 26 mins,13-12-21,spanish,Not rated yet,575.00
Lucy & the Lord Mayor Show,Writtenby:DavidWilliams,Narratedby:LindyEstlin,28 mins,01-10-19,English,Not rated yet,152.00
Els bessons congelats,"Writtenby:AndreuMartín,JaumeRibera",Narratedby:PolNubiala,11 hrs and 31 mins,06-08-21,catalan,Not rated yet,767.00
High Achiever,Writtenby:TiffanyJenkins,Narratedby:TiffanyJenkins,8 hrs and 53 mins,18-06-19,English,5 out of 5 stars1 rating,"1,005.00"
The Physician's Daughter,Writtenby:MarthaConway,Narratedby:NormaButikofer,10 hrs and 27 mins,03-03-22,English,Not rated yet,"1,328.00"
A Fine Brother,Writtenby:LouiseMiller,Narratedby:RachelAtkins,12 hrs and 50 mins,03-12-12,English,Not rated yet,721.00
Good to Great,Writtenby:JimCollins,Narratedby:JimCollins,9 hrs and 58 mins,22-10-20,English,4.5 out of 5 stars23 ratings,888.00
Persuasión,Writtenby:JaneAusten,Narratedby:EvaFernandezMarcos,8 hrs and 47 mins,13-03-22,spanish,Not rated yet,307.00
Patterns of Connection,Writtenby:FritjofCapra,Narratedby:GarethRichards,12 hrs and 24 mins,30-11-21,English,Not rated yet,703.00
Притяжение воды и пламени. [Attraction of Water and Flame.],Writtenby:AleksAnzhelo,Narratedby:TatyanaVinogradova,5 hrs and 24 mins,27-07-21,russian,Not rated yet,234.00
Entdeck mich. Weltberühmte Expeditionen,"Writtenby:FerdinandFreiherrvonRichthofen,HeinrichSchliemann,AlexandervonHumboldt","Narratedby:FrankArnold,WalterKreye,JohannesSteck",4 hrs and 53 mins,11-06-09,german,Not rated yet,535.00
Berlin,Writtenby:WolfgangFeyerabend,"Narratedby:KerstinHoffmann,AxelThielmann",1 hr and 17 mins,15-12-21,german,Not rated yet,233.00
"Мыслить ставками. Как принимать правильное решение, когда информация ограничена",Writtenby:SmartReading,Narratedby:ОльгаГанкова,33 mins,04-09-20,russian,Not rated yet,132.00
中国经济：观察与谏言 - 中國經濟：觀察與諫言 [The Chinese Economy: Observations and Advice],Writtenby:夏斌-夏斌-XiaBin,Narratedby:小朱-小朱-Xiaozhu,8 hrs and 9 mins,12-02-18,mandarin_chinese,Not rated yet,473.00
Surviving a Borderline Parent,"Writtenby:KimberleeRoth,FredaB.Friedman",Narratedby:PamWard,7 hrs and 17 mins,27-12-15,English,Not rated yet,820.00
Destination Unknown,Writtenby:AmyClipston,Narratedby:AimeeLilly,7 hrs and 33 mins,29-12-13,English,Not rated yet,502.00
Younger You,Writtenby:KaraN.FitzgeraldND,Narratedby:RachelPerry,12 hrs and 8 mins,18-01-22,English,Not rated yet,500.00
Feast,Writtenby:HannahHoward,Narratedby:HannahHoward,8 hrs and 5 mins,01-04-18,English,Not rated yet,820.00
En Nenjam Un Thanjam... [My Heart Is Your Refuge...],Writtenby:VijiPrabu,Narratedby:NancyMervin,3 hrs and 26 mins,11-08-21,tamil,Not rated yet,76.00
El Poder de los Algoritmos (Narración en Castellano) [The Power of Algorithms],Writtenby:KonstantinaValogianni,Narratedby:CristinaSerra,6 mins,23-10-20,spanish,Not rated yet,115.00
"Me, Myself, They",Writtenby:JoshuaM.Ferguson,Narratedby:JoshuaM.Ferguson,7 hrs and 31 mins,07-05-19,English,Not rated yet,636.00
You Got This,Writtenby:MelissaHorvath,Narratedby:MelieWilliams,3 hrs and 56 mins,28-08-21,English,Not rated yet,585.00
Product Leadership,"Writtenby:RichardBanfield,MartinEriksson,NateWalkingshaw",Narratedby:MitchellDorian,7 hrs and 41 mins,05-02-21,English,4.5 out of 5 stars2 ratings,"1,340.00"
Gamora and Nebula,Writtenby:MackenziLee,"Narratedby:AmberLeeConnors,KamaliMinter,ErinYvette",8 hrs and 42 mins,15-06-21,English,Not rated yet,703.00
Stalking Jack the Ripper,"Writtenby:KerriManiscalco,JamesPattersonforeword",Narratedby:NicolaBarber,9 hrs and 26 mins,14-08-18,English,4.5 out of 5 stars15 ratings,500.00
Lorde,Writtenby:HeatherE.Schwartz,Narratedby:BookBuddyDigitalMedia,10 mins,28-04-21,English,Not rated yet,164.00
Dragon Whisper,Writtenby:NiamhMurphy,Narratedby:GabrielleBaker,10 hrs and 32 mins,30-04-19,English,Not rated yet,586.00
O caminho do artista [The Artist's Way],Writtenby:JuliaCameron,Narratedby:PérolaPaes,10 hrs and 34 mins,18-03-22,portuguese,Not rated yet,187.00
Advent,Writtenby:iMinds,Narratedby:JudeBeaumont,5 mins,08-12-09,English,Not rated yet,33.00
Monster's Mercy: Book 3,Writtenby:WilliamD.Arand,Narratedby:AndreaParsneau,13 hrs and 16 mins,07-01-22,English,Not rated yet,836.00
La giustizia penale internazionale,Writtenby:SalvatoreZappalà,Narratedby:GabrieleCalindri,4 hrs and 57 mins,31-12-19,italian,Not rated yet,267.00
"Lebe, als gäbe es kein Morgen",Writtenby:CharlotteTaylor,"Narratedby:ConstanzeButtmann,MartinKuupa",10 hrs and 12 mins,21-05-21,german,Not rated yet,502.00
Vom Wind geküsst,Writtenby:LinRina,Narratedby:HannahBaus,14 hrs and 19 mins,01-03-21,german,Not rated yet,501.00
Where There's Smoke,Writtenby:TerraLittle,Narratedby:MishiLaChappelle,9 hrs and 37 mins,14-01-20,English,Not rated yet,820.00
An Uncivilized Romance: A Western Romance Story,Writtenby:EllieeAtkinson,Narratedby:AmyMelissaBentley,6 hrs and 25 mins,22-05-18,English,Not rated yet,586.00
Dirty Rebound,Writtenby:MiraLynKelly,"Narratedby:SavannahPeachwood,ChristianFox",6 hrs and 7 mins,13-10-20,English,Not rated yet,"1,172.00"
Kein Weihnachten ohne Puddingschuhe!,Writtenby:AnnaBöhm,Narratedby:AnnaSchudt,4 hrs and 20 mins,08-12-20,german,Not rated yet,233.00
The Man Who Stalked Einstein,"Writtenby:BruceJ.Hillman,BirgitErtl-Wagner,BerndC.Wagner",Narratedby:ArthurMorey,7 hrs and 46 mins,01-02-16,English,Not rated yet,668.00
The Hunt,Writtenby:DavidFarbman,Narratedby:MattStone,5 hrs and 6 mins,27-07-20,English,Not rated yet,586.00
Tod in der Marsch,Writtenby:HannesNygaard,Narratedby:JensHartwig,9 hrs and 27 mins,16-11-21,german,Not rated yet,300.00
The House of Mirth,Writtenby:EdithWharton,Narratedby:JanMoorehouse,12 hrs and 52 mins,22-12-21,English,Not rated yet,434.00
13½ Incredible Things You Need to Know About Everything,Writtenby:DK,Narratedby:AlexWingfield,7 hrs and 48 mins,09-04-20,English,Not rated yet,615.00
PJ Masks: Héroes en Pijamas - Cuentos de tres minutos para dormir,"Writtenby:eOne,NicolásOluchaSánchez-traductor",Narratedby:KevinCalderón,31 mins,21-02-22,spanish,Not rated yet,76.00
Aprender espanhol,Writtenby:ThomasRike,Narratedby:ThomasRike,1 hr and 11 mins,31-05-21,portuguese,Not rated yet,300.00
Чародей,Writtenby:ВладимирПоселягин,Narratedby:ПожилойКсеноморф,8 hrs and 34 mins,17-11-21,russian,Not rated yet,200.00
Wo? stehen wir in der Krise,Writtenby:MaritaKühne,Narratedby:VincentSchott,2 hrs and 31 mins,01-10-21,german,Not rated yet,434.00
The Silk Road Rediscovered,"Writtenby:AnilK.Gupta,GirijaPande,HaiyanWang",Narratedby:SamDevereaux,7 hrs and 32 mins,27-07-20,English,Not rated yet,668.00
ADHD 2.0,"Writtenby:EdwardM.Hallowell,JohnJ.Ratey",Narratedby:FredSanders,5 hrs and 27 mins,12-01-21,English,5 out of 5 stars6 ratings,754.00
Puffin Lives: Mahatma Gandhi,Writtenby:SubhadraSenGupta,Narratedby:RohiniVij,4 hrs and 9 mins,22-04-21,English,Not rated yet,502.00
Soul Surfer,Writtenby:BethanyHamilton,Narratedby:EleniPappageorge,3 hrs and 52 mins,10-03-11,English,5 out of 5 stars2 ratings,469.00
Innercise: The New Science to Unlock Your Brain's Hidden Power,Writtenby:JohnAssaraf,Narratedby:GaryElliot,7 hrs and 5 mins,27-09-18,English,4.5 out of 5 stars10 ratings,668.00
Mission séduction,Writtenby:CharlotteRoucel,Narratedby:AnneGallien,6 hrs and 46 mins,13-10-21,french,Not rated yet,717.00
We Have This Moment,Writtenby:DiannHunt,Narratedby:SherriBerger,7 hrs and 41 mins,09-02-11,English,Not rated yet,703.00
Mengele,"Writtenby:GeraldPosner,JohnWare,MichaelBerenbaum-introduction",Narratedby:BruceMann,15 hrs and 15 mins,21-01-20,English,Not rated yet,703.00
怖いくらい通じる! 魔法のカタカナ英語(3) 《ファミリー編》,Writtenby:世界英語研究会,"Narratedby:沖田千代子,HappyRiver",1 hr and 2 mins,18-06-21,japanese,Not rated yet,697.00
Unsettled,Writtenby:StevenE.Koonin,Narratedby:JayAaseng,7 hrs and 14 mins,07-05-21,English,5 out of 5 stars2 ratings,516.00
聴く歴史・王朝時代『弘法大師・空海の生涯と密教の思想』【1】,Writtenby:松長有慶,Narratedby:松長有慶,1 hr and 5 mins,02-07-15,japanese,Not rated yet,279.00
絶歌を読んで少年Aの心を精神分析してみた結果・・・,Writtenby:ペンネームK.K.,Narratedby:紫都木龍麻,1 hr and 15 mins,10-02-22,japanese,Not rated yet,418.00
Treasure Island,Writtenby:RobertLouisStevenson,Narratedby:AdrianPraetzellis,7 hrs and 28 mins,13-06-17,English,Not rated yet,334.00
Hot Copy,Writtenby:RubyBarrett,"Narratedby:TroyDuran,SofiaWillingham",9 hrs and 52 mins,25-05-21,English,Not rated yet,469.00
Big Business,Writtenby:TylerCowen,Narratedby:SteveEdwards,7 hrs and 13 mins,09-04-19,English,Not rated yet,134.00
Рассказы о Суворове,Writtenby:СергейАлексеев,Narratedby:ВячеславГерасимов,3 hrs and 6 mins,02-02-21,russian,Not rated yet,166.00
Catherine the Great,Writtenby:InfluentialEventsPublishing,Narratedby:MonroeWilliams,2 hrs and 43 mins,20-03-22,English,Not rated yet,117.00
Sakyamuni (Buddha) [Russian Edition],Writtenby:K.Karyagin,Narratedby:EkaterinaRogushina,2 hrs and 43 mins,10-11-15,russian,Not rated yet,234.00
Samson and Delilah,Writtenby:DarcyWeinbeck,Narratedby:DavidDuChene,11 mins,13-08-08,English,Not rated yet,116.00
Nicodemus,Writtenby:D.B.Reynolds,Narratedby:TorThom,14 hrs and 47 mins,14-12-21,English,Not rated yet,703.00
